Date,symbol,name,stock_at_date
2023-09-05,IBM,IBM,148.1300048828125
2023-09-06,IBM,IBM,148.05999755859375
2023-09-07,IBM,IBM,147.52000427246094
2023-09-08,IBM,IBM,147.67999267578125
2023-09-11,IBM,IBM,148.3800048828125
2023-09-12,IBM,IBM,146.3000030517578
2023-09-13,IBM,IBM,146.5500030517578
2023-09-14,IBM,IBM,147.35000610351562
2023-09-15,IBM,IBM,145.99000549316406
2023-09-18,IBM,IBM,145.08999633789062
2023-09-19,IBM,IBM,146.52000427246094
2023-09-20,IBM,IBM,149.8300018310547
2023-09-21,IBM,IBM,147.3800048828125
2023-09-22,IBM,IBM,146.91000366210938
2023-09-25,IBM,IBM,146.47999572753906
2023-09-26,IBM,IBM,143.24000549316406
2023-09-27,IBM,IBM,143.1699981689453
2023-09-28,IBM,IBM,141.5800018310547
2023-09-29,IBM,IBM,140.3000030517578
2023-10-02,IBM,IBM,140.8000030517578
2023-10-03,IBM,IBM,140.38999938964844
2023-10-04,IBM,IBM,141.07000732421875
2023-10-05,IBM,IBM,141.52000427246094
2023-10-06,IBM,IBM,142.02999877929688
2023-10-09,IBM,IBM,142.1999969482422
2023-10-10,IBM,IBM,142.11000061035156
2023-10-11,IBM,IBM,143.22999572753906
2023-10-12,IBM,IBM,141.24000549316406
2023-10-13,IBM,IBM,138.4600067138672
2023-10-16,IBM,IBM,139.2100067138672
2023-10-17,IBM,IBM,140.32000732421875
2023-10-18,IBM,IBM,139.97000122070312
2023-10-19,IBM,IBM,138.00999450683594
2023-10-20,IBM,IBM,137.16000366210938
2023-10-23,IBM,IBM,136.3800048828125
2023-10-24,IBM,IBM,137.7899932861328
2023-10-25,IBM,IBM,137.0800018310547
2023-10-26,IBM,IBM,143.75999450683594
2023-10-27,IBM,IBM,142.52000427246094
2023-10-30,IBM,IBM,142.6300048828125
2023-10-31,IBM,IBM,144.63999938964844
2023-11-01,IBM,IBM,145.39999389648438
2023-11-02,IBM,IBM,147.00999450683594
2023-11-03,IBM,IBM,147.89999389648438
2023-11-06,IBM,IBM,148.97000122070312
2023-11-07,IBM,IBM,148.8300018310547
